Problem,Topic,Difficulty,Solution Video in Tamil,Link to Problem
Two Sum,Array,Easy,https://youtu.be/7GF0xKXdZE4,https://leetcode.com/problems/two-sum/
Top K Frequent Elements,,Medium,https://youtu.be/J2qbhC68PDE,https://leetcode.com/problems/top-k-frequent-elements/
Longest Consecutive Sequence,,Medium,https://youtu.be/FhTBdxB0OuY,https://leetcode.com/problems/longest-consecutive-sequence/
Valid Palindrome,Two Pointer,Easy,https://youtu.be/TLAa4hWY2BE,https://leetcode.com/problems/valid-palindrome/
3Sum,,Medium,https://youtu.be/_iDhuohpKdk,https://leetcode.com/problems/3sum/
Two Sum 2 - Input Array is sorted,,Medium,https://youtu.be/YD3ah6IjC84,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
Container with most water,,Medium,https://youtu.be/Hbl60aeDpYk,https://leetcode.com/problems/container-with-most-water/
Trapping rain water,,Hard,https://youtu.be/Ihuo_UJKrkU,https://leetcode.com/problems/trapping-rain-water/
Best Time to Buy and Sell Stock,Sliding Window,Easy,https://youtu.be/dWuXFQigIuQ,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
Longest Substring Without Repeating Characters,,Medium,https://youtu.be/sQJ2KH1CWg4,https://leetcode.com/problems/longest-substring-without-repeating-characters/
Permutation in String,,Medium,https://youtu.be/D3k7RxFz3Ho,https://leetcode.com/problems/permutation-in-string/
Minimum Window Substring,,Hard,,https://leetcode.com/problems/minimum-window-substring/
Valid Paranthesis,Stack,Easy,https://youtu.be/UNNM46ZzcuY,https://leetcode.com/problems/valid-parentheses/
Daily Temperature,,Medium,https://youtu.be/OZIxbkrcJRo,https://leetcode.com/problems/daily-temperatures/
Car Fleet,,Medium,https://youtu.be/wUoNoM2U6nI,https://leetcode.com/problems/car-fleet/
Largest Recangle in Histogram,,Hard,,https://leetcode.com/problems/largest-rectangle-in-histogram/
Binary Search,Binary Search,Easy,https://youtu.be/dV5YoeoFEVs,https://leetcode.com/problems/binary-search/
Search a 2D matrix,,Medium,https://youtu.be/6MGK6VAQC4U,https://leetcode.com/problems/search-a-2d-matrix/
Capacity To Ship Packages Within D Days,,Medium,https://youtu.be/UyQxOk3eX74,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/
Median of Two Sorted Arrays,,Hard,,https://leetcode.com/problems/median-of-two-sorted-arrays/
Reverse linked list,Linked List,Easy,https://youtu.be/0tyBEURbEFA,https://leetcode.com/problems/reverse-linked-list/
Merge two sorted lists,,Medium,https://youtu.be/g4dAgvB2OIk,https://leetcode.com/problems/merge-two-sorted-lists/
Copy list with random pointer,,Medium,https://youtu.be/QgKgy3WaSN8,https://leetcode.com/problems/copy-list-with-random-pointer/
Merge k sorted lists,,Hard,,https://leetcode.com/problems/merge-k-sorted-lists/
Reverse nodes in k group,,Hard,,https://leetcode.com/problems/reverse-nodes-in-k-group/
Insert Interval,Intervals,Medium,https://youtu.be/EbPdy_Tiyio,https://leetcode.com/problems/insert-interval/
Merge Intervals,,Medium,https://youtu.be/OxCNn3Z8iPc,https://leetcode.com/problems/merge-intervals/
Non overlapping intervals,,Medium,https://youtu.be/gXC3t31HT3o,https://leetcode.com/problems/non-overlapping-intervals/
Kth Largest element in an array,Heap,Easy,https://youtu.be/JvW6GIQAggE,https://leetcode.com/problems/kth-largest-element-in-an-array/
Last Stone weight,,Easy,https://youtu.be/bWdbZp5Ef2s,https://leetcode.com/problems/last-stone-weight/
Task Scheduler,,Medium,,https://leetcode.com/problems/task-scheduler/
Find Median from Data Stream,,Hard,,https://leetcode.com/problems/find-median-from-data-stream/
Invert Tree,Tree,Easy,https://youtu.be/Wy82KgTnVSs,https://leetcode.com/problems/invert-binary-tree/
Maximum depth of Binary Tree,,Medium,https://youtu.be/HzxIeJ5FkKI,https://leetcode.com/problems/maximum-depth-of-binary-tree/
Diameter of Binary Tree,,Medium,,https://leetcode.com/problems/diameter-of-binary-tree/
Lowest Common Ancestor of Binary Search Tree,,Medium,,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
Kth Smallest element in BST,,Medium,,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
Number of Islands,Graph,Medium,https://youtu.be/0tJdT6Affg8,https://leetcode.com/problems/number-of-islands/
Rotting Oranges,,Medium,,https://leetcode.com/problems/rotting-oranges/
Course Schedule,,Medium,,https://leetcode.com/problems/course-schedule/
Course Schedule 2,,Medium,,https://leetcode.com/problems/course-schedule-iii/
Maximum Subarray,Greedy,Medium,https://youtu.be/YPajqra-7Rg,https://leetcode.com/problems/maximum-subarray/
Jump Game,,Medium,https://youtu.be/9EEN5pSg9sc,https://leetcode.com/problems/jump-game/
Jump Game 2,,Medium,,https://leetcode.com/problems/jump-game-ii/
Gas Station,,Medium,https://youtu.be/ZG_gHl12qf0,https://leetcode.com/problems/gas-station/
Climbing Stairs,DP (1d),Easy,https://youtu.be/eff5aCyXVUE,https://leetcode.com/problems/climbing-stairs/
Min Cost Climbing Stairs,,Easy,https://youtu.be/DfP0xZ2kXWs,https://leetcode.com/problems/min-cost-climbing-stairs/
House Robber,,Medium,,https://leetcode.com/problems/house-robber/
Longest Palindromic Substring,,Medium,,https://leetcode.com/problems/longest-palindromic-substring/
Coin Change,,Medium,,https://leetcode.com/problems/coin-change/
Longest Common Subsequence,DP (2d),Medium,https://youtu.be/Q3brUQBaBB8,https://leetcode.com/problems/longest-common-subsequence/
Coin Change 2,,Medium,,https://leetcode.com/problems/coin-change-ii/
Target Sum,,Medium,,https://leetcode.com/problems/target-sum/
Longest Increasing path in a matrix,,Hard,,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/
Subsets,Backtracking,Medium,,https://leetcode.com/problems/subsets/
Subsets 2,,Medium,,https://leetcode.com/problems/subsets-ii/
Permutations,,Medium,,https://leetcode.com/problems/permutations/
Permutations 2,,Medium,,https://leetcode.com/problems/permutations-ii/
N Queens,,Hard,,https://leetcode.com/problems/n-queens/
Single Number,Bit Manipulation/ Trie,Easy,https://youtu.be/N5DGG2IeDXI,https://leetcode.com/problems/single-number/
Number of 1 bits,,Easy,https://youtu.be/jC41l5TKvwI,https://leetcode.com/problems/number-of-1-bits/
Implement Trie,,Medium,,https://leetcode.com/problems/implement-trie-prefix-tree/
